SKU;Título;Preço;Quantidade;Condição;Marca;Modelo;Código universal de produto;Garantia;Tipo de garantia;Descrição
SKU-001-KOS-10013879;Chave Seta Celta Prisma 2010 a 2015 Kostal 10013879;459.9;1;Novo;Kostal;10013879;94749142;6 meses;Garantia do vendedor;"🚗 APLICAÇÃO VEICULAR
Confira os modelos e anos compatíveis:

• Chevrolet Celta (Life / Spirit / Super / LT / Advantage) — Motor 1.0 8V VHC / VHCE Flexpower Flex (2010 a 2015)
• Chevrolet Prisma (Joy / Maxx / LT) — Motor 1.0 8V / 1.4 8V Econoflex Flex (2010 a 2012)


⚠️ ALERTAS DE COMPATIBILIDADE
• Não compatível com modelos Celta de 2000 a 2009 (utilizam painel antigo e outro conector).
• Não compatível com modelos sem limpador traseiro (utilizar Kostal 10015096 ou 10015530).
• Recomendamos comparar o código gravado na sua peça com os códigos informados abaixo.
• Em caso de dúvidas sobre ano/versão, pergunte no campo abaixo antes de comprar!


⚙️ ESPECIFICAÇÕES TÉCNICAS
• Fabricante: Kostal
• Código da Peça: 10013879
• Código Original (OEM): 94749142
• Códigos Similares: Marília IM12879, Multiqualita GM91939, Diretec DTC1142, Ospina 042142
• Voltagem: 12V
• Conexoes Terminais: Conector padrão original 22 pinos (Plug & Play)
• Material: Polímero de alta densidade PA66 com contatos em cobre eletrolítico
• Funcoes Integradas: Comando de seta com retorno automático, Lampejo de farol alto e seleção alto/baixo, Limpador de para-brisa dianteiro com temporizador, Limpador e lavador do vidro traseiro, Interruptor de emergência (pisca-alerta integrado na carcaça)
• Dimensoes Aprox Cm: 24 x 14 x 9
• Peso Gramas: 380
• Padrao Fabricacao: Norma Original GM / ISO 9001
• Condição: Produto 100% novo, lacrado na embalagem original


📦 CONTEÚDO & GARANTIA
• 01 Chave de Seta Chevrolet Celta e Prisma com Limpador Dianteiro Traseiro e Pisca Alerta Kostal 10013879 (Kostal 10013879)
• Acompanha Nota Fiscal Eletrônica (PF e PJ)
• Garantia de 6 meses contra defeitos de fabricação


❓ DÚVIDAS FREQUENTES
• Pronta Entrega: Sim, todos os produtos anunciados estão em estoque físico para envio imediato.
• Frete e Prazo: Calculados automaticamente pelo Mercado Envios digitando seu CEP no anúncio.
• Instalação: Recomendamos que a montagem seja feita por profissional especializado.


🛡️ BUSK Peças — Qualidade, Agilidade & Confiança"
SKU-002-EUR-20573;Motor Partida Arranque Toyota Hilux 2.8 3.0 Diesel 20573;429.9;1;Novo;Euro;20573;28100-54070;6 meses;Garantia do vendedor;"🚗 APLICAÇÃO VEICULAR
Confira os modelos e anos compatíveis:

• Toyota HiAce (Van / Furgão / Passageiro) — Motor 2.4D / 2.8D Diesel (1992 a 2002)
• Toyota Hilux (Pick-up / Cabine Simples / Cabine Dupla / SW4) — Motor 2.4 Diesel (2L) / 2.8 Diesel (3L) / 3.0 Diesel Aspirado e Turbo (5L / 1KZ-TE) Diesel (1992 a 2004)


⚠️ ALERTAS DE COMPATIBILIDADE
• Não compatível com Hilux motor 3.0 D4D 1KD-FTV (2005 em diante que utiliza 9 ou 11 dentes com outra furação).
• Não compatível com modelos Hilux com motor a gasolina 2.7 VVTi.
• Recomendamos comparar o código gravado na sua peça com os códigos informados abaixo.
• Em caso de dúvidas sobre ano/versão, pergunte no campo abaixo antes de comprar!


⚙️ ESPECIFICAÇÕES TÉCNICAS
• Fabricante: Euro
• Código da Peça: 20573
• Código Original (OEM): 28100-54070, 28100-54090, 28100-54380, 28100-54430
• Códigos Similares: Bosch 0001109033, Denso 228000-0230, Delco Remy 8000185, ZM 8010101
• Voltagem: 12V
• Potencia Kw: 2.2 kW
• Numero Dentes Pinhao: 10 Dentes
• Sentido Rotacao: Horário (CW)
• Material: Carcaça em alumínio fundido e induzido com enrolamento de cobre puro
• Tipo Acionamento: Eletromecânico com relé de partida integrado e bendix temperado
• Dimensoes Aprox Cm: 28 x 18 x 14
• Peso Gramas: 4850
• Padrao Fabricacao: Padrão OEM Heavy Duty Diesel
• Condição: Produto 100% novo, lacrado na embalagem original


📦 CONTEÚDO & GARANTIA
• 01 Motor de Partida Arranque Toyota Hilux 2.4 2.8 3.0 Diesel Euro 20573 (Euro 20573)
• Acompanha Nota Fiscal Eletrônica (PF e PJ)
• Garantia de 6 meses contra defeitos de fabricação


❓ DÚVIDAS FREQUENTES
• Pronta Entrega: Sim, todos os produtos anunciados estão em estoque físico para envio imediato.
• Frete e Prazo: Calculados automaticamente pelo Mercado Envios digitando seu CEP no anúncio.
• Instalação: Recomendamos que a montagem seja feita por profissional especializado.


🛡️ BUSK Peças — Qualidade, Agilidade & Confiança"
SKU-003-MUL-MQ0198;Motor Partida Arranque VW Fusca Kombi 1600 MQ0198;639.9;1;Novo;MultiQualita;MQ0198;9000082006;6 meses;Garantia do vendedor;"🚗 APLICAÇÃO VEICULAR
Confira os modelos e anos compatíveis:

• Volkswagen Brasilia (Standard / 2 Portas / 4 Portas) — Motor 1.6 Boxer a Ar (Simples e Dupla Carburação) Gasolina / Álcool (1976 a 1982)
• Volkswagen Fusca (1300 / 1500 / 1600 / Itamar) — Motor 1.3 / 1.5 / 1.6 Boxer Refrigerado a Ar Gasolina / Álcool (1976 a 1996)
• Volkswagen Gol (BX) — Motor 1.3 / 1.6 Boxer a Ar Gasolina / Álcool (1980 a 1986)
• Volkswagen Kombi (Furgão / Pick-up / Standard / Clipper) — Motor 1.6 Boxer a Ar (Carburada e Injeção Eletrônica) Gasolina / Álcool (1976 a 2005)


⚠️ ALERTAS DE COMPATIBILIDADE
• Não compatível com modelos de Fusca antigos com sistema elétrico de 6 Volts (anteriores a 1967).
• Não compatível com Kombi com motor 1.4 Flex refrigerado a água (EA111).
• Recomendamos comparar o código gravado na sua peça com os códigos informados abaixo.
• Em caso de dúvidas sobre ano/versão, pergunte no campo abaixo antes de comprar!


⚙️ ESPECIFICAÇÕES TÉCNICAS
• Fabricante: MultiQualita
• Código da Peça: MQ0198
• Código Original (OEM): 9000082006, 9000082046, 9000082061, 113911023B
• Códigos Similares: Bosch 9000082006, Cinap 6006, ZM 8010201, Euro 20501
• Voltagem: 12V
• Potencia Kw: 0.95 kW
• Numero Dentes Pinhao: 9 Dentes
• Sentido Rotacao: Horário (CW)
• Material: Carcaça metálica tratada e bobinas em cobre com alta condutividade
• Fixacao: 2 furos na flange da carcaça do câmbio
• Dimensoes Aprox Cm: 23 x 15 x 12
• Peso Gramas: 3650
• Padrao Fabricacao: Linha de Reposição Premium VW Clássicos
• Condição: Produto 100% novo, lacrado na embalagem original


📦 CONTEÚDO & GARANTIA
• 01 Motor de Partida Arranque VW Fusca Brasilia Kombi Gol BX 1300 1500 1600 MultiQualita MQ0198 (MultiQualita MQ0198)
• Acompanha Nota Fiscal Eletrônica (PF e PJ)
• Garantia de 6 meses contra defeitos de fabricação


❓ DÚVIDAS FREQUENTES
• Pronta Entrega: Sim, todos os produtos anunciados estão em estoque físico para envio imediato.
• Frete e Prazo: Calculados automaticamente pelo Mercado Envios digitando seu CEP no anúncio.
• Instalação: Recomendamos que a montagem seja feita por profissional especializado.


🛡️ BUSK Peças — Qualidade, Agilidade & Confiança"
SKU-004-MOP-51997820;Motor Partida Original Fiat Uno Mobi Strada 51997820;849.9;1;Novo;Fiat / Mopar;51997820;51997820;12 meses;Garantia do vendedor;"🚗 APLICAÇÃO VEICULAR
Confira os modelos e anos compatíveis:

• Fiat Fiorino (Hard Working / Endurance) — Motor 1.4 8V Fire EVO Flex (2014 a 2024)
• Fiat Grand Siena (Attractive) — Motor 1.4 8V Fire EVO / 1.0 8V Fire EVO Flex / Tetrafuel (2012 a 2021)
• Fiat Mobi (Easy / Like / Way / Drive / Trekking) — Motor 1.0 8V Fire EVO / 1.0 6V Firefly Flex (2016 a 2024)
• Fiat Palio (Attractive / Essence) — Motor 1.0 8V Fire EVO / 1.4 8V Fire EVO Flex (2012 a 2018)
• Fiat Strada (Working / Hard Working / Freedom / Endurance) — Motor 1.4 8V Fire EVO / 1.3 8V Firefly Flex (2014 a 2024)
• Fiat Uno (Vivace / Attractive / Way / Sporting / Drive) — Motor 1.0 8V Fire EVO / 1.0 6V Firefly 3 Cilindros / 1.3 8V Firefly Flex (2012 a 2021)


⚠️ ALERTAS DE COMPATIBILIDADE
• Não compatível com motores 1.6 / 1.8 16V E.torQ.
• Não compatível com motores 1.0 / 1.3 / 1.5 Fire 8V antigos (anteriores a 2010 com motor de arranque de carcaça grande).
• Recomendamos comparar o código gravado na sua peça com os códigos informados abaixo.
• Em caso de dúvidas sobre ano/versão, pergunte no campo abaixo antes de comprar!


⚙️ ESPECIFICAÇÕES TÉCNICAS
• Fabricante: Fiat / Mopar
• Código da Peça: 51997820
• Código Original (OEM): 51997820, 51950821, 52026857
• Códigos Similares: Denso BC428000-9830, Valeo TSC10R1, Bosch F000AL0145, Euro 20580
• Voltagem: 12V
• Potencia Kw: 1.0 kW
• Numero Dentes Pinhao: 9 Dentes / Redução Planetária
• Sentido Rotacao: Anti-horário (CCW)
• Tecnologia: Motor de partida compacto com engrenagens planetárias de redução (alta eficiência com menor consumo de bateria)
• Dimensoes Aprox Cm: 20 x 14 x 11
• Peso Gramas: 2750
• Padrao Fabricacao: Original Genuíno Fiat Mopar Automotiva
• Condição: Produto 100% novo, lacrado na embalagem original


📦 CONTEÚDO & GARANTIA
• 01 Motor de Partida Arranque Original Fiat Uno Palio Strada Mobi Fiorino Firefly e Fire 51997820 (Fiat / Mopar 51997820)
• Acompanha Nota Fiscal Eletrônica (PF e PJ)
• Garantia de 12 meses contra defeitos de fabricação


❓ DÚVIDAS FREQUENTES
• Pronta Entrega: Sim, todos os produtos anunciados estão em estoque físico para envio imediato.
• Frete e Prazo: Calculados automaticamente pelo Mercado Envios digitando seu CEP no anúncio.
• Instalação: Recomendamos que a montagem seja feita por profissional especializado.


🛡️ BUSK Peças — Qualidade, Agilidade & Confiança"
SKU-005-MOP-55254306;Corpo Borboleta TBI Toro Argo Renegade 1.8 55254306;599.9;1;Novo;Fiat / Mopar;55254306;55254306;12 meses;Garantia do vendedor;"🚗 APLICAÇÃO VEICULAR
Confira os modelos e anos compatíveis:

• Fiat Argo (Precision / HGT / Trekking) — Motor 1.8 16V E.torQ EVO Flex Flex (2017 a 2021)
• Fiat Bravo (Essence / Sporting / Blackmotion) — Motor 1.8 16V E.torQ Flex (2011 a 2016)
• Fiat Cronos (Drive / Precision / HGT) — Motor 1.8 16V E.torQ EVO Flex Flex (2018 a 2021)
• Fiat Doblò (Essence / Adventure) — Motor 1.8 16V E.torQ Flex (2011 a 2021)
• Fiat Grand Siena (Essence) — Motor 1.6 16V E.torQ Flex (2012 a 2018)
• Fiat Linea (Essence / HLX / Absolute) — Motor 1.8 16V E.torQ Flex (2011 a 2016)
• Fiat Palio (Essence / Sporting) — Motor 1.6 16V / 1.8 16V E.torQ Flex (2011 a 2017)
• Fiat Punto (Essence / Sporting / Blackmotion) — Motor 1.6 16V / 1.8 16V E.torQ Flex (2011 a 2017)
• Fiat Toro (Freedom / Opening Edition / Endurance) — Motor 1.8 16V E.torQ EVO Flex Flex (2016 a 2022)
• Jeep Renegade (Sport / Longitude / Night Eagle / STD / Limited) — Motor 1.8 16V E.torQ EVO Flex Flex (2015 a 2021)


⚠️ ALERTAS DE COMPATIBILIDADE
• Não compatível com motores 1.0 e 1.3 Firefly.
• Não compatível com motores 1.4 T-Jet ou 1.3 Turbo 270 GSE.
• Requer procedimento de aprendizado de corpo de borboleta via scanner automotivo após a instalação.
• Recomendamos comparar o código gravado na sua peça com os códigos informados abaixo.
• Em caso de dúvidas sobre ano/versão, pergunte no campo abaixo antes de comprar!


⚙️ ESPECIFICAÇÕES TÉCNICAS
• Fabricante: Fiat / Mopar
• Código da Peça: 55254306
• Código Original (OEM): 55254306, 55227810, 55240212
• Códigos Similares: Magneti Marelli SMF00801, Magneti Marelli 44SMF8, Bosch 0280750580
• Voltagem: 12V
• Diametro Garganta Mm: 52 mm
• Conector: 6 Pinos (Terminais banhados a prata com sensor TPS duplo integrado)
• Tipo Acionamento: Drive-by-Wire (Acelerador Eletrônico 100% Digital)
• Material: Corpo usinado em liga de alumínio fundido e engrenagens reforçadas em POM de engenharia
• Dimensoes Aprox Cm: 16 x 14 x 11
• Peso Gramas: 1150
• Padrao Fabricacao: Original de Linha de Montagem Fiat / Jeep Mopar
• Condição: Produto 100% novo, lacrado na embalagem original


📦 CONTEÚDO & GARANTIA
• 01 Corpo de Borboleta TBI Eletronico Fiat Toro Argo Cronos Jeep Renegade 1.6 1.8 16V E.torQ 55254306 (Fiat / Mopar 55254306)
• Acompanha Nota Fiscal Eletrônica (PF e PJ)
• Garantia de 12 meses contra defeitos de fabricação


❓ DÚVIDAS FREQUENTES
• Pronta Entrega: Sim, todos os produtos anunciados estão em estoque físico para envio imediato.
• Frete e Prazo: Calculados automaticamente pelo Mercado Envios digitando seu CEP no anúncio.
• Instalação: Recomendamos que a montagem seja feita por profissional especializado.


🛡️ BUSK Peças — Qualidade, Agilidade & Confiança"
SKU-006-MM-50001;Bico Injetor Monoponto Uno Gol Escort SPI IWM50001;489.9;1;Novo;Magneti Marelli;IWM50001;7078028;6 meses;Garantia do vendedor;"🚗 APLICAÇÃO VEICULAR
Confira os modelos e anos compatíveis:

• Fiat Uno (CS / Mille EP / EX / SX / ELX / 1.5 i.e. / 1.6 i.e.) — Motor 1.0 SPI / 1.5 SPI / 1.6 SPI Fiasa e Sevel Gasolina / Álcool (1994 a 2001)
• Ford Escort (GL / Ghia / Verona) — Motor 1.6 SPI / 1.8 SPI AP Gasolina / Álcool (1994 a 1996)
• Renault Clio (RL / RN) — Motor 1.6 8V SPI (Motor C3L) Gasolina (1996 a 1999)
• Volkswagen Gol (CL / GL / Plus (Quadrado e Bola G2)) — Motor 1.6 SPI / 1.8 SPI AP Gasolina / Álcool (1994 a 1996)


⚠️ ALERTAS DE COMPATIBILIDADE
• Não serve em sistemas multiponto (MPI de 4 bicos injetores).
• Verifique a resistência ôhmica da central de injeção antes da instalação.
• Recomendamos comparar o código gravado na sua peça com os códigos informados abaixo.
• Em caso de dúvidas sobre ano/versão, pergunte no campo abaixo antes de comprar!


⚙️ ESPECIFICAÇÕES TÉCNICAS
• Fabricante: Magneti Marelli
• Código da Peça: IWM50001
• Código Original (OEM): 7078028, 0269060311, 7701380004, 93223680
• Códigos Similares: YMAX 50001, Bosch 0280150698, DPL DPL50001, DS 1101, Short Code 50001
• Voltagem: 12V
• Resistencia Ohmios: Baixa impedância (1.5 a 2.5 Ohms)
• Tipo Injecao: SPI Monoponto (Single Point Injection) com 10 furos de atomização
• Pressao Trabalho Bar: 1.0 a 1.5 bar
• Vazao Estatica Ml Min: 480 a 520 ml/min a 1.0 bar
• Dimensoes Aprox Cm: 7 x 4 x 4
• Peso Gramas: 120
• Padrao Fabricacao: Padrão Original Magneti Marelli Linha Clássica
• Condição: Produto 100% novo, lacrado na embalagem original


📦 CONTEÚDO & GARANTIA
• 01 Bico Injetor Monoponto Magneti Marelli IWM50001 Uno Gol Escort Clio SPI Gasolina Alcool 50001 (Magneti Marelli IWM50001)
• Acompanha Nota Fiscal Eletrônica (PF e PJ)
• Garantia de 6 meses contra defeitos de fabricação


❓ DÚVIDAS FREQUENTES
• Pronta Entrega: Sim, todos os produtos anunciados estão em estoque físico para envio imediato.
• Frete e Prazo: Calculados automaticamente pelo Mercado Envios digitando seu CEP no anúncio.
• Instalação: Recomendamos que a montagem seja feita por profissional especializado.


🛡️ BUSK Peças — Qualidade, Agilidade & Confiança"
SKU-007-VW-04C1333132;Flauta Injetores VW Up Gol Fox Polo 1.0 3cc 04C1333132;249.9;1;Novo;Volkswagen;04C1333132;04C1333132;6 meses;Garantia do vendedor;"🚗 APLICAÇÃO VEICULAR
Confira os modelos e anos compatíveis:

• Volkswagen Fox / Bluemotion (Bluemotion / Connect / Extreme) — Motor 1.0 12V 3 Cilindros EA211 Flex (2014 a 2021)
• Volkswagen Gol (Trendline / Comfortline / Track (G6, G7, G8)) — Motor 1.0 12V 3 Cilindros EA211 Total Flex Flex (2016 a 2023)
• Volkswagen Polo (1.0 MPI) — Motor 1.0 12V 3 Cilindros EA211 MPI Flex (2018 a 2024)
• Volkswagen Up! (Take / Move / High / Cross / Pepper) — Motor 1.0 12V 3 Cilindros EA211 MPI Flex Flex (2014 a 2021)
• Volkswagen Voyage (Trendline / Comfortline) — Motor 1.0 12V 3 Cilindros EA211 Flex (2016 a 2023)


⚠️ ALERTAS DE COMPATIBILIDADE
• Não compatível com motores 1.0 4 Cilindros 8V EA111 (Gol G4/G5 4 cilindros).
• Não compatível com motores 1.0 TSI Turbo com injeção direta de alta pressão (flauta metálica HP).
• Recomendamos comparar o código gravado na sua peça com os códigos informados abaixo.
• Em caso de dúvidas sobre ano/versão, pergunte no campo abaixo antes de comprar!


⚙️ ESPECIFICAÇÕES TÉCNICAS
• Fabricante: Volkswagen
• Código da Peça: 04C1333132
• Código Original (OEM): 04C1333132, 04C133312, 04C133312A, 04C133313
• Códigos Similares: DS 1904C, Magneti Marelli FL04C, VP 04C313
• Material: Tubo estrutural de alta precisão em aço inoxidável / polímero reforçado para 4.2 bar
• Numero Alojamentos Injetores: 3 Saídas (Motor 3 Cilindros 12V EA211)
• Conexao Entrada: Engate rápido tipo Quick-Connect padrão VW
• Pressao Maxima Trabalho: 6.0 bar
• Dimensoes Aprox Cm: 26 x 6 x 5
• Peso Gramas: 280
• Padrao Fabricacao: Peça Genuína Volkswagen Linha de Montagem
• Condição: Produto 100% novo, lacrado na embalagem original


📦 CONTEÚDO & GARANTIA
• 01 Flauta Tubo Distribuidor de Combustivel Original VW Up Gol Fox Polo EA211 1.0 3 Cilindros 04C1333132 (Volkswagen 04C1333132)
• Acompanha Nota Fiscal Eletrônica (PF e PJ)
• Garantia de 6 meses contra defeitos de fabricação


❓ DÚVIDAS FREQUENTES
• Pronta Entrega: Sim, todos os produtos anunciados estão em estoque físico para envio imediato.
• Frete e Prazo: Calculados automaticamente pelo Mercado Envios digitando seu CEP no anúncio.
• Instalação: Recomendamos que a montagem seja feita por profissional especializado.


🛡️ BUSK Peças — Qualidade, Agilidade & Confiança"
SKU-008-BOS-0280730508;Corpo Borboleta TBI Gol Fox Voyage 1.0 1.6 Bosch 0280750508;439.9;1;Novo;Bosch;0280750508;030133062D;12 meses;Garantia do vendedor;"🚗 APLICAÇÃO VEICULAR
Confira os modelos e anos compatíveis:

• Volkswagen Fox (City / Plus / Route / Prime / Highline) — Motor 1.0 8V / 1.6 8V EA111 Flex Flex (2008 a 2015)
• Volkswagen Gol (Trend / Power / Rallye / Seleção (G5, G6)) — Motor 1.0 8V / 1.6 8V EA111 Total Flex (VHT e CCRA) Flex (2008 a 2016)
• Volkswagen Saveiro (Trooper / Cross / Robust / Trendline (G5, G6)) — Motor 1.6 8V EA111 Total Flex Flex (2009 a 2016)
• Volkswagen SpaceFox (Plus / Comfortline / Highline) — Motor 1.6 8V EA111 Flex Flex (2008 a 2015)
• Volkswagen Voyage (Trend / Comfortline / Highline (G5, G6)) — Motor 1.0 8V / 1.6 8V EA111 Total Flex Flex (2008 a 2016)


⚠️ ALERTAS DE COMPATIBILIDADE
• Não compatível com motores 1.0 3 Cilindros 12V EA211 (Up, Fox 3cc, Polo novo).
• Não compatível com motores 1.6 16V MSI EA211.
• Recomendamos comparar o código gravado na sua peça com os códigos informados abaixo.
• Em caso de dúvidas sobre ano/versão, pergunte no campo abaixo antes de comprar!


⚙️ ESPECIFICAÇÕES TÉCNICAS
• Fabricante: Bosch
• Código da Peça: 0280750508
• Código Original (OEM): 030133062D, 030133062, 030133062S
• Códigos Similares: Bosch 0280730508, Bosch 0 280 750 508, Magneti Marelli 44SMF7, VDO A2C59512938
• Voltagem: 12V
• Diametro Borboleta Mm: 44 mm
• Conector: 6 Pinos (Terminais banhados a ouro com sensor Hall de posição TPS)
• Tipo Comando: Drive-by-Wire (Acelerador Eletrônico Total Flex)
• Material: Carcaça fundida em liga de alumínio ALSI9CU3 e engrenagens de polímero com auto-lubrificação
• Dimensoes Aprox Cm: 15 x 13 x 10
• Peso Gramas: 920
• Padrao Fabricacao: Padrão Original Bosch Alemanha / Brasil
• Condição: Produto 100% novo, lacrado na embalagem original


📦 CONTEÚDO & GARANTIA
• 01 Corpo de Borboleta TBI Bosch VW Gol Fox Voyage Saveiro SpaceFox 1.0 1.6 8V EA111 0280750508 (Bosch 0280750508)
• Acompanha Nota Fiscal Eletrônica (PF e PJ)
• Garantia de 12 meses contra defeitos de fabricação


❓ DÚVIDAS FREQUENTES
• Pronta Entrega: Sim, todos os produtos anunciados estão em estoque físico para envio imediato.
• Frete e Prazo: Calculados automaticamente pelo Mercado Envios digitando seu CEP no anúncio.
• Instalação: Recomendamos que a montagem seja feita por profissional especializado.


🛡️ BUSK Peças — Qualidade, Agilidade & Confiança"
SKU-009-MUL-MQ0144;Eletroventilador Golf Audi A3 Fox Polo 345mm MQ0144;319.9;1;Novo;MultiQualita;MQ0144;1J0959455F;6 meses;Garantia do vendedor;"🚗 APLICAÇÃO VEICULAR
Confira os modelos e anos compatíveis:

• Audi A3 (1.6 / 1.8 20V / 1.8T (150cv / 180cv)) — Motor 1.6 8V / 1.8 20V Aspirado e Turbo Gasolina (1999 a 2006)
• Volkswagen Bora (Comfortline / Highline) — Motor 2.0 8V Gasolina / Flex (2000 a 2011)
• Volkswagen Fox / SpaceFox / CrossFox (Plus / Route / Prime / Extreme) — Motor 1.0 8V / 1.6 8V com ar-condicionado Flex (2003 a 2014)
• Volkswagen Golf (G4 / G4.5 (Generation, Sportline, Flash, GTI)) — Motor 1.6 8V / 1.8 20V Turbo / 2.0 8V Gasolina / Flex (1999 a 2013)
• Volkswagen Polo (Hatch / Sedan) — Motor 1.6 8V / 2.0 8V Gasolina / Flex (2002 a 2014)


⚠️ ALERTAS DE COMPATIBILIDADE
• Verifique o diâmetro da hélice: este modelo é o grande de 345mm (o modelo auxiliar menor mede 290mm).
• Não compatível com Golf TSI MK7 (2014 em diante).
• Recomendamos comparar o código gravado na sua peça com os códigos informados abaixo.
• Em caso de dúvidas sobre ano/versão, pergunte no campo abaixo antes de comprar!


⚙️ ESPECIFICAÇÕES TÉCNICAS
• Fabricante: MultiQualita
• Código da Peça: MQ0144
• Código Original (OEM): 1J0959455F, 1J0959455K, 6X0959455F, 6Q0959455A
• Códigos Similares: Gate V2010144, Bosch 0130107289, Valeo 698602, DTA 0144, Klaüs DK60451
• Voltagem: 12V
• Potencia Watts: 250W / 100W (2 Velocidades)
• Diametro Helice Mm: 345 mm
• Numero Pas: 7 Pás Balanceadas Dinamicamente
• Sentido Fluxo: Aspirante (puxa o ar de fora para dentro do radiador)
• Conector: Plugue original 3 pinos (Velocidade 1, Velocidade 2 e Terra)
• Dimensoes Aprox Cm: 36 x 36 x 9
• Peso Gramas: 1850
• Padrao Fabricacao: Padrão Original Grupo VAG (VW / Audi)
• Condição: Produto 100% novo, lacrado na embalagem original


📦 CONTEÚDO & GARANTIA
• 01 Eletroventilador Ventoinha Radiador Audi A3 Golf Bora Fox Polo 12V 345mm 7 Pas MultiQualita MQ0144 (MultiQualita MQ0144)
• Acompanha Nota Fiscal Eletrônica (PF e PJ)
• Garantia de 6 meses contra defeitos de fabricação


❓ DÚVIDAS FREQUENTES
• Pronta Entrega: Sim, todos os produtos anunciados estão em estoque físico para envio imediato.
• Frete e Prazo: Calculados automaticamente pelo Mercado Envios digitando seu CEP no anúncio.
• Instalação: Recomendamos que a montagem seja feita por profissional especializado.


🛡️ BUSK Peças — Qualidade, Agilidade & Confiança"
SKU-010-MOP-68203986AA;Suporte Modulo Painel Jeep Renegade Toro 68203986AA;439.9;1;Novo;Fiat / Mopar;68203986AA;68203986AA;12 meses;Garantia do vendedor;"🚗 APLICAÇÃO VEICULAR
Confira os modelos e anos compatíveis:

• Fiat Toro (Freedom / Volcano / Ranch / Ultra / Endurance) — Motor 1.8 Flex / 2.4 Tigershark / 2.0 Diesel / 1.3 T270 Flex / Diesel (2016 a 2023)
• Jeep Compass (Sport / Longitude / Limited / Trailhawk / Série S) — Motor 2.0 Flex / 2.0 Diesel 4x4 / 1.3 T270 Flex / Diesel (2017 a 2023)
• Jeep Renegade (Sport / Longitude / Limited / Trailhawk / Night Eagle) — Motor 1.8 Flex / 2.0 Turbo Diesel 4x4 / 1.3 Turbo 270 Flex / Diesel (2015 a 2023)


⚠️ ALERTAS DE COMPATIBILIDADE
• Verificar compatibilidade com o número do chassi em caso de versões com blindagem de fábrica.
• Recomendamos comparar o código gravado na sua peça com os códigos informados abaixo.
• Em caso de dúvidas sobre ano/versão, pergunte no campo abaixo antes de comprar!


⚙️ ESPECIFICAÇÕES TÉCNICAS
• Fabricante: Fiat / Mopar
• Código da Peça: 68203986AA
• Código Original (OEM): 68203986AA, 68203986AB, 52059432
• Códigos Similares: Mopar 68203986AA, Chrysler 68203986AA
• Material: Aço estrutural estampado de alta resistência com tratamento anticorrosivo eletroforético e buchas de polímero
• Pontos Fixacao: Furação e roscas originais de fábrica para ancoragem no chassi estrutural do tablier
• Peso Gramas: 650
• Dimensoes Aprox Cm: 24 x 16 x 8
• Padrao Fabricacao: Padrão Genuíno Mopar Stellantis
• Condição: Produto 100% novo, lacrado na embalagem original


📦 CONTEÚDO & GARANTIA
• 01 Suporte e Modulo de Fixacao Painel Original Mopar Jeep Renegade Compass Fiat Toro 68203986AA (Fiat / Mopar 68203986AA)
• Acompanha Nota Fiscal Eletrônica (PF e PJ)
• Garantia de 12 meses contra defeitos de fabricação


❓ DÚVIDAS FREQUENTES
• Pronta Entrega: Sim, todos os produtos anunciados estão em estoque físico para envio imediato.
• Frete e Prazo: Calculados automaticamente pelo Mercado Envios digitando seu CEP no anúncio.
• Instalação: Recomendamos que a montagem seja feita por profissional especializado.


🛡️ BUSK Peças — Qualidade, Agilidade & Confiança"
